Title,Author,Image url,Link url,Reading Level,Description,Tags
The Hate U Give,"Thomas, Angie",https://www.syndetics.com/index.aspx?isbn=9780062498533&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C760269,Young-Adult,,
The Autobiography of Malcolm X,"X, Malcolm, 1925-1965",https://www.syndetics.com/index.aspx?isbn=0345379756&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C380320,Young-Adult,,
Dear Martin,"Stone, Nic,",https://www.syndetics.com/index.aspx?isbn=9781101939499&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C648854,Young-Adult,,
Tyler Johnson Was Here,"Coles, Jay,",https://www.syndetics.com/index.aspx?isbn=9780316440776&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C789144,Young-Adult,,
I Know Why the Caged Bird Sings,"Angelou, Maya",https://www.syndetics.com/index.aspx?isbn=0375507892&issn=/LC.JPG&client=slplp&type=xw12&oclc=ocm47643535,https://slpl.bibliocommons.com/v2/record/S198C680103,Young-Adult,,
How It Went Down,"Magoon, Kekla,",https://www.syndetics.com/index.aspx?isbn=9780805098693&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C94183,Young-Adult,,
Stamped,"Reynolds, Jason",https://www.syndetics.com/index.aspx?isbn=9780316453691&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C737489,Young-Adult,,
Monster,"Sims, Guy A.",https://www.syndetics.com/index.aspx?isbn=9780062275004&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C702847,Young-Adult,,
Grown,"Jackson, Tiffany D.",https://www.syndetics.com/index.aspx?isbn=9780062840356&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C670811,Young-Adult,,
Concrete Rose,"Thomas, Angie,",https://www.syndetics.com/index.aspx?isbn=9780062846716&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C643706,Young-Adult,,
Odd One Out,"Stone, Nic",,https://slpl.bibliocommons.com/v2/record/S198C710934,Young-Adult,,
On the Come Up,"Thomas, Angie",https://www.syndetics.com/index.aspx?isbn=9780062498564&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C711791,Young-Adult,,
Monday's Not Coming,"Jackson, Tiffany D.,",https://www.syndetics.com/index.aspx?isbn=0062422677&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C702675,Young-Adult,,
Police,"Correia, David, 1968-",https://www.syndetics.com/index.aspx?isbn=9781786630148&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C263831,Young-Adult,,
Mediocre,"Oluo, Ijeoma",https://www.syndetics.com/index.aspx?isbn=9781580059510&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C699662,Young-Adult,,
Dear Justyce,"Stone, Nic,",https://www.syndetics.com/index.aspx?isbn=9781984829665&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C648837,Young-Adult,,
THE END OF POLICING,"Vitale, Alex S.,",https://www.syndetics.com/index.aspx?isbn=9781784782894&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C419140,Young-Adult,,
"Women, Race & Class","Davis, Angela Y. (Angela Yvonne), 1944-",https://www.syndetics.com/index.aspx?isbn=0394713516&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C800651,Young-Adult,,
Whiteout,Nicola Yoon,https://www.syndetics.com/index.aspx?isbn=9780063088146&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C1089301,Young-Adult,,
Homie,"Smith, Danez",https://www.syndetics.com/index.aspx?isbn=9781644450109&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C676188,Young-Adult,,
Blackout,Nicola Yoon,https://www.syndetics.com/index.aspx?isbn=9780063088092&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C627508,Young-Adult,,
A Love Hate Thing,"Grandison, Whitney D.",https://www.syndetics.com/index.aspx?isbn=9781335016041&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C663724,Young-Adult,,
Vinyl Moon,"Browne, Mahogany L.",https://www.syndetics.com/index.aspx?isbn=9780593176436&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C792023,Young-Adult,,
Bitter,"Emezi, Akwaeke,",https://www.syndetics.com/index.aspx?isbn=9780593309032&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C808761,Young-Adult,,
Bloodmarked,"Deonn, Tracy,",https://www.syndetics.com/index.aspx?isbn=9781534441637&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C1118232,Young-Adult,,
Brown Girl Dreaming,"Woodson, Jacqueline",https://www.syndetics.com/index.aspx?isbn=9780399252518&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C635940,Young-Adult,,
Hidden Figures,"Shetterly, Margot Lee",https://www.syndetics.com/index.aspx?isbn=9780062363596&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C674742,Young-Adult,,
The Crossover [Graphic Novel],"Alexander, Kwame,",https://www.syndetics.com/index.aspx?isbn=9781328960016&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C407420,Young-Adult,,
,,,,,,
The Underground Railroad,"Whitehead, Colson, 1969-",https://www.syndetics.com/index.aspx?isbn=9780385542364&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C780012,Young-Adult,,
"Roll of Thunder, Hear My Cry","Taylor, Mildred D.,",https://www.syndetics.com/index.aspx?isbn=9781101993880&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C299222,Young-Adult,,
The Color Purple,"Walker, Alice, 1944-",https://www.syndetics.com/index.aspx?isbn=0151191549&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C751306,Young-Adult,,
,,,,,,
Letter to My Daughter,"Angelou, Maya,",https://www.syndetics.com/index.aspx?isbn=9781400066124&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C692060,Young-Adult,,
Happily Ever Afters,"Bryant, Elise (Elise M.)",https://www.syndetics.com/index.aspx?isbn=9780062982834&issn=/LC.JPG&client=slplp&type=xw12,https://slpl.bibliocommons.com/v2/record/S198C672009,Young-Adult,,